2021-02-06 10:40:43,981 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:40:48,985 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:40:53,990 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:40:58,993 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:41:03,998 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:41:09,003 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:41:14,007 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:41:19,011 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:41:24,013 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:41:29,017 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:41:34,023 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 10:41:39,025 - INFO - {'key2': '1', 'key3': 'localhost:9090', 'key1': '1'}
2021-02-06 11:47:02,871 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:47:07,885 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:47:12,889 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:47:17,894 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:47:22,895 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:47:27,900 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:47:32,903 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:47:37,905 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
