2021-02-05 16:28:57,517 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:28:57,906 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:02,521 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:02,910 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:07,526 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:07,914 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:12,531 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:12,917 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:17,536 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:17,922 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:22,541 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:22,923 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:27,545 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:27,928 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:32,547 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:32,931 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:37,548 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:37,935 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:42,551 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:42,937 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:47,556 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:47,938 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:52,558 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:52,943 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:57,563 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:29:57,948 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:02,569 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:02,954 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:07,574 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:07,955 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:12,579 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:12,958 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:17,582 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:17,960 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:22,585 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:22,965 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:27,590 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:27,967 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:32,595 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:32,972 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:37,597 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:37,975 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:42,602 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:42,976 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:47,607 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:47,978 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:52,610 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:52,983 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:57,612 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:30:57,986 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:02,616 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:02,987 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:07,616 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:07,992 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:12,617 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:12,997 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:17,622 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:17,997 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:22,627 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:23,001 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:27,633 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:28,001 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:32,635 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:33,006 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:37,638 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:38,007 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:42,639 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:43,012 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:47,640 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:48,017 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:52,645 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:53,022 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:57,648 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:31:58,027 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:02,649 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:03,032 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:07,654 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:08,037 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:12,657 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:13,042 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:17,662 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:18,050 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:22,667 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:23,052 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:27,668 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:28,057 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
