2021-02-06 14:32:39,683 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:32:44,688 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:32:49,689 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:32:54,692 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:32:59,697 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:33:04,702 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:33:09,708 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:33:14,713 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:33:19,715 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:33:24,718 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:33:29,721 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:33:34,721 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 14:33:39,722 - INFO - {'key1': '1.2', 'key2': '1', 'key3': 'localhost:9090'}
